years,variable,label,description,source
"2017, 2018","read_test_pct_prof_midpt","Share of students scoring proficient on a reading or language arts assessment","None","EDFacts"
"2017, 2018","math_test_num_valid","Number of students who completed a mathematics assessment and for whom a proficiency level was assigned","None","EDFacts"
"2017, 2018","math_test_pct_prof_midpt","Share of students scoring proficient on a mathematics assessment","None","EDFacts"
2017-2020,"teachers_total_fte","Total full-time equivalent teachers","None","Common Core of Data"
2017-2020,"staff_total_fte","Total full-time equivalent staff","None","Common Core of Data"
2017-2020,"teachers_prek_fte","Number of full-time equivalent prekindergarten teachers","None","Common Core of Data"
2017-2020,"teachers_kindergarten_fte","Number of full-time equivalent kindergarten teachers","None","Common Core of Data"
2017-2020,"teachers_elementary_fte","Number of full-time equivalent elementary school teachers","None","Common Core of Data"
2017-2020,"teachers_secondary_fte","Number of full-time equivalent secondary school teachers","None","Common Core of Data"
2017-2020,"teachers_ungraded_fte","Number of full-time equivalent ungraded teachers","None","Common Core of Data"
2017-2020,"instructional_aides_fte","Number of full-time equivalent instructional aides or paraprofessionals","None","Common Core of Data"
2017-2020,"coordinators_fte","Number of full-time equivalent instructional coordinators and supervisors","None","Common Core of Data"
2017-2020,"guidance_counselors_elem_fte","Number of full-time equivalent elementary school guidance counselors","None","Common Core of Data"
2017-2020,"guidance_counselors_sec_fte","Number of full-time equivalent secondary school guidance counselors","None","Common Core of Data"
2017-2020,"guidance_counselors_total_fte","Total full-time equivalent guidance counselors","None","Common Core of Data"
2017-2020,"school_counselors_fte","Number of full-time school counselors","None","Common Core of Data"
2017-2020,"librarian_specialists_fte","Number of full-time equivalent librarians or media specialists","None","Common Core of Data"
2017-2020,"librarian_support_staff_fte","Number of full-time equivalent library or media support staff","None","Common Core of Data"
2017-2020,"lea_administrators_fte","Number of full-time equivalent local education agency administrators","None","Common Core of Data"
2017-2020,"lea_admin_support_staff_fte","Number of full-time equivalent local education agency administrative support staff","None","Common Core of Data"
2017-2020,"lea_staff_total_fte","Total full-time equivalent LEA staff","None","Common Core of Data"
2017-2020,"school_administrators_fte","Number of full-time equivalent school administrators","None","Common Core of Data"
2017-2020,"school_admin_support_staff_fte","Number of full-time equivalent school administrative support staff","None","Common Core of Data"
2017-2020,"support_staff_students_fte","Number of full-time equivalent student support services staff","None","Common Core of Data"
2017-2020,"school_psychologists_fte","Number of full-time equivalent school psychologists","None","Common Core of Data"
2017-2020,"support_staff_stu_wo_psych_fte","Number of full-time equivalent student support services staff (not including psychologists)","None","Common Core of Data"
2017-2020,"support_staff_other_fte","Number of full-time equivalent other support services staff","None","Common Core of Data"
2017-2020,"other_staff_fte","Number of other full-time equivalent staff","None","Common Core of Data"
2017-2020,"school_staff_total_fte","Total full-time equivalent school staff","None","Common Core of Data"
